ID;GebruikVanGeweld;SoortDiefstal;RegioS;Perioden;TotaalGeregistreerdeDiefstallen_1;GeregistreerdeDiefstallenPer1000Inw_3
174920;A048105;CRI1125;GM0610;2018JJ00;0;     0.0
174921;A048105;CRI1125;GM0610;2019JJ00;0;     0.0
174922;A048105;CRI1125;GM0610;2020JJ00;0;     0.0
174923;A048105;CRI1125;GM0610;2021JJ00;0;     0.0
174932;A048105;CRI1125;GM0040;2018JJ00;;
174933;A048105;CRI1125;GM0040;2019JJ00;;
174934;A048105;CRI1125;GM0040;2020JJ00;;
174935;A048105;CRI1125;GM0040;2021JJ00;;
174944;A048105;CRI1125;GM1714;2018JJ00;0;     0.0
174945;A048105;CRI1125;GM1714;2019JJ00;0;     0.0
174946;A048105;CRI1125;GM1714;2020JJ00;0;     0.0
174947;A048105;CRI1125;GM1714;2021JJ00;0;     0.0
174956;A048105;CRI1125;GM0090;2018JJ00;0;     0.0
174957;A048105;CRI1125;GM0090;2019JJ00;0;     0.0
174958;A048105;CRI1125;GM0090;2020JJ00;0;     0.0
174959;A048105;CRI1125;GM0090;2021JJ00;0;     0.0
174968;A048105;CRI1125;GM0091;2018JJ00;;
174969;A048105;CRI1125;GM0091;2019JJ00;;
174970;A048105;CRI1125;GM0091;2020JJ00;;
174971;A048105;CRI1125;GM0091;2021JJ00;;
174980;A048105;CRI1125;GM0342;2018JJ00;0;     0.0
174981;A048105;CRI1125;GM0342;2019JJ00;0;     0.0
174982;A048105;CRI1125;GM0342;2020JJ00;0;     0.0
174983;A048105;CRI1125;GM0342;2021JJ00;0;     0.0
174992;A048105;CRI1125;GM0847;2018JJ00;0;     0.0
174993;A048105;CRI1125;GM0847;2019JJ00;0;     0.0
174994;A048105;CRI1125;GM0847;2020JJ00;0;     0.0
174995;A048105;CRI1125;GM0847;2021JJ00;0;     0.0
175004;A048105;CRI1125;GM0848;2018JJ00;0;     0.0
175005;A048105;CRI1125;GM0848;2019JJ00;0;     0.0
175006;A048105;CRI1125;GM0848;2020JJ00;0;     0.0
175007;A048105;CRI1125;GM0848;2021JJ00;0;     0.0
175016;A048105;CRI1125;GM0612;2018JJ00;;
175017;A048105;CRI1125;GM0612;2019JJ00;;
175018;A048105;CRI1125;GM0612;2020JJ00;;
175019;A048105;CRI1125;GM0612;2021JJ00;;
175028;A048105;CRI1125;GM0037;2018JJ00;0;     0.0
175029;A048105;CRI1125;GM0037;2019JJ00;0;     0.0
175030;A048105;CRI1125;GM0037;2020JJ00;0;     0.0
175031;A048105;CRI1125;GM0037;2021JJ00;0;     0.0
175040;A048105;CRI1125;GM0180;2018JJ00;0;     0.0
175041;A048105;CRI1125;GM0180;2019JJ00;0;     0.0
175042;A048105;CRI1125;GM0180;2020JJ00;0;     0.0
175043;A048105;CRI1125;GM0180;2021JJ00;0;     0.0
175052;A048105;CRI1125;GM0532;2018JJ00;0;     0.0
175053;A048105;CRI1125;GM0532;2019JJ00;0;     0.0
175054;A048105;CRI1125;GM0532;2020JJ00;0;     0.0
175055;A048105;CRI1125;GM0532;2021JJ00;0;     0.0
175064;A048105;CRI1125;GM0851;2018JJ00;0;     0.0
175065;A048105;CRI1125;GM0851;2019JJ00;0;     0.0
175066;A048105;CRI1125;GM0851;2020JJ00;0;     0.0
